Timestamp,X,Y,Polarity
11208,164,68,0
11215,186,66,0
11242,179,55,1
11263,174,55,1
11263,37,58,0
11266,172,58,1
11273,177,47,1
11278,146,69,0
11283,43,71,0
11324,41,52,0
11325,166,68,0
11336,58,73,1
11348,36,52,0
11351,31,2,1
11358,29,88,0
11367,102,79,1
11384,46,80,0
11386,128,80,0
11400,72,73,0
11403,187,65,0
11412,41,57,1
11413,90,61,1
11415,170,61,1
11420,142,56,0
11426,149,69,0
11447,171,67,0
11449,188,84,1
11452,60,73,0
11503,184,61,1
11517,149,59,1
11525,85,73,0
11545,51,74,0
11546,175,67,0
11572,97,96,0
11573,110,60,1
11588,94,81,1
11594,171,66,0
11595,78,66,1
11596,55,73,0
11624,103,74,0
11635,44,52,0
11636,180,52,1
11641,191,59,0
11643,92,61,1
11646,70,113,1
11646,93,61,1
11651,42,53,1
11674,147,69,0
11680,148,69,0
11683,31,2,1
11687,128,17,1
11688,39,60,0
11695,32,55,1
11711,169,68,0
11717,127,80,0
11721,13,69,0
11732,92,72,0
11755,161,56,1
11765,74,68,0
11774,38,57,0
11780,114,0,1
11802,35,40,1
11826,141,69,0
11832,104,61,1
11833,157,68,0
11839,34,53,0
11849,76,73,0
11855,168,58,1
11876,99,74,0
11881,40,45,0
11890,106,83,0
11901,122,82,0
11919,12,103,0
11955,68,74,0
11969,82,73,0
11971,141,70,0
11978,138,56,1
11980,186,56,1
11981,31,2,1
11985,168,60,0
11989,98,73,0
11999,79,73,0
12015,70,69,1
12015,37,69,0
12020,103,106,0
12026,38,61,0
12029,47,69,0
12039,52,74,0
12066,76,62,1
12080,68,69,1
12083,173,67,0
12114,73,74,0
12153,71,74,0
12163,36,68,1
12168,36,68,1
12169,138,52,0
12178,134,16,1
12187,144,79,1
12197,67,65,1
12206,194,59,1
12227,136,59,0
12237,36,69,0
12258,37,45,0
12269,58,73,1
12275,31,2,1
12281,33,52,0
12291,195,62,0
12297,56,72,0
12303,184,61,1
12311,81,61,1
12312,39,61,0
12331,161,58,1
12352,173,58,1
12353,136,59,0
12413,185,56,1
12414,138,74,0
12417,138,75,0
12421,81,63,0
12423,37,52,0
12453,48,55,1
12460,180,55,1
12466,99,60,1
12467,142,69,0
12468,184,66,0
12470,117,82,0
12471,119,82,0
12475,135,55,0
12482,143,28,1
12501,145,47,1
12504,193,58,1
12505,179,58,1
12515,62,63,1
12524,60,63,1
12524,65,73,0
12544,140,70,0
12545,136,59,0
12554,46,53,1
12569,43,53,1
12570,176,67,0
12583,31,2,1
12587,39,51,1
12592,144,59,1
12598,143,59,1
12599,153,59,1
12599,40,66,1
12600,50,72,0
12611,94,62,0
12615,117,94,1
12634,67,74,0
12719,161,68,0
12722,105,60,1
12768,104,60,1
12768,23,58,1
12769,40,52,0
12769,184,58,1
12770,76,74,0
12788,136,59,0
12792,70,68,0
12800,124,29,1
12817,135,56,1
12827,137,50,0
12831,62,73,0
